player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Brice Sensabaugh,2025-12-20,SELL_HIGH,0.424,16.0,0.517,14.8,0.417,22.1,True,PASSED
Brook Lopez,2025-11-16,SELL_HIGH,0.423,15.5,0.542,14.8,0.348,28.2,True,PASSED
Brook Lopez,2025-11-17,SELL_HIGH,0.425,15.4,0.55,14.0,0.308,29.5,True,PASSED
Bruce Brown,2025-11-24,BUY_LOW,0.424,23.0,0.355,25.6,0.395,-16.3,True,PASSED
Bruce Brown,2025-12-01,BUY_LOW,0.395,23.3,0.297,24.4,0.536,-24.7,True,PASSED
Bruce Brown,2025-12-03,BUY_LOW,0.39,23.1,0.263,24.2,0.591,-32.6,True,PASSED
Bruce Brown,2025-12-11,SELL_HIGH,0.423,23.5,0.517,25.0,0.556,22.2,False,PASSED
Bruce Brown,2025-12-15,SELL_HIGH,0.423,23.6,0.536,24.8,0.632,26.8,False,PASSED
Bruce Brown,2025-12-18,SELL_HIGH,0.421,23.7,0.591,26.2,0.619,40.5,False,PASSED
Bruce Brown,2025-12-23,SELL_HIGH,0.451,24.4,0.556,28.4,0.645,23.2,False,PASSED
Bruce Brown,2025-12-25,SELL_HIGH,0.467,24.4,0.632,28.4,0.5,35.3,True,PASSED
Bruce Brown,2025-12-27,SELL_HIGH,0.465,24.5,0.619,28.6,0.458,33.1,True,PASSED
Bruce Brown,2025-12-29,SELL_HIGH,0.463,24.6,0.647,27.2,0.5,39.7,True,PASSED
Bruce Brown,2025-12-31,SELL_HIGH,0.477,24.7,0.686,26.8,0.387,43.6,True,PASSED
Bruce Brown,2026-01-02,SELL_HIGH,0.48,24.7,0.645,26.4,0.31,34.3,True,PASSED
Bryce McGowens,2025-12-23,SELL_HIGH,0.522,17.3,0.654,19.4,0.32,25.3,True,PASSED
Bryce McGowens,2025-12-26,SELL_HIGH,0.515,18.0,0.6,20.8,0.394,16.5,True,PASSED
