player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Bobby Portis,2025-11-15,SELL_HIGH,0.477,20.6,0.639,22.6,0.574,33.9,True,UNFILTERED
Bobby Portis,2025-11-17,SELL_HIGH,0.47,20.4,0.59,22.2,0.533,25.5,True,UNFILTERED
Bobby Portis,2025-12-05,BUY_LOW,0.475,21.7,0.37,21.4,0.556,-22.0,True,UNFILTERED
Bobby Portis,2025-12-26,SELL_HIGH,0.489,23.2,0.569,30.4,0.516,16.5,True,UNFILTERED
Bones Hyland,2025-12-27,BUY_LOW,0.476,13.3,0.395,23.4,0.357,-16.9,False,UNFILTERED
Bones Hyland,2026-01-03,BUY_LOW,0.458,13.4,0.371,17.8,0.387,-19.0,True,UNFILTERED
Branden Carlson,2025-12-10,SELL_HIGH,0.526,10.0,0.667,13.4,0.706,26.7,False,UNFILTERED
Branden Carlson,2025-12-18,SELL_HIGH,0.565,10.1,0.72,14.0,0.6,27.5,True,UNFILTERED
Branden Carlson,2025-12-22,SELL_HIGH,0.569,10.4,0.708,15.4,0.6,24.4,True,UNFILTERED
Branden Carlson,2025-12-23,SELL_HIGH,0.569,11.2,0.667,19.8,0.588,17.1,True,UNFILTERED
Branden Carlson,2025-12-25,SELL_HIGH,0.569,10.8,0.667,16.0,0.615,17.1,True,UNFILTERED
Branden Carlson,2025-12-28,SELL_HIGH,0.568,10.4,0.706,11.6,0.577,24.4,True,UNFILTERED
Brandin Podziemski,2025-11-16,BUY_LOW,0.438,28.6,0.357,27.4,0.423,-18.5,True,UNFILTERED
Brandin Podziemski,2025-12-20,SELL_HIGH,0.454,27.8,0.545,26.8,0.5,20.3,True,UNFILTERED
Brandin Podziemski,2025-12-22,SELL_HIGH,0.45,27.9,0.522,28.6,0.571,15.9,False,UNFILTERED
Brandin Podziemski,2025-12-25,SELL_HIGH,0.455,27.9,0.535,28.4,0.489,17.5,True,UNFILTERED
Brandin Podziemski,2025-12-28,SELL_HIGH,0.456,27.9,0.553,29.4,0.455,21.2,True,UNFILTERED
Brandin Podziemski,2025-12-29,SELL_HIGH,0.459,27.9,0.551,28.4,0.425,20.0,True,UNFILTERED
Brandin Podziemski,2026-01-02,SELL_HIGH,0.466,27.5,0.571,25.4,0.361,22.7,True,UNFILTERED
Brandon Ingram,2025-11-15,BUY_LOW,0.492,33.3,0.412,34.2,0.466,-16.2,True,UNFILTERED
Brandon Ingram,2025-11-17,BUY_LOW,0.493,33.1,0.412,34.0,0.473,-16.2,True,UNFILTERED
Brandon Ingram,2025-12-07,BUY_LOW,0.462,33.8,0.378,34.4,0.543,-18.2,True,UNFILTERED
Brandon Miller,2025-12-18,BUY_LOW,0.364,28.4,0.297,31.6,0.442,-18.4,True,UNFILTERED
Brandon Williams,2025-11-22,BUY_LOW,0.384,21.3,0.259,24.2,0.352,-32.5,True,UNFILTERED
Brandon Williams,2025-11-24,BUY_LOW,0.396,22.0,0.321,27.0,0.32,-18.8,False,UNFILTERED
Brandon Williams,2025-11-28,BUY_LOW,0.389,21.9,0.288,25.0,0.326,-25.9,True,UNFILTERED
Brandon Williams,2025-11-29,BUY_LOW,0.382,22.1,0.276,25.0,0.426,-27.7,True,UNFILTERED
Brandon Williams,2025-12-01,BUY_LOW,0.38,22.3,0.311,26.2,0.475,-18.0,True,UNFILTERED
Brandon Williams,2025-12-05,BUY_LOW,0.377,21.4,0.32,19.6,0.524,-15.1,True,UNFILTERED
Brandon Williams,2025-12-18,SELL_HIGH,0.396,21.8,0.475,20.0,0.5,19.8,False,UNFILTERED
Brandon Williams,2025-12-20,SELL_HIGH,0.396,22.2,0.488,23.6,0.568,23.4,False,UNFILTERED
Brandon Williams,2025-12-22,SELL_HIGH,0.402,22.1,0.524,25.0,0.491,30.1,True,UNFILTERED
