player,game_date,signal,season_fg,l5_fg,n5_fg,deviation,regression_occurred,regression_strength
Brandon Williams,2025-12-01,BUY_LOW,0.38,0.311,0.475,-18.0,True,1.4
Brandon Williams,2025-12-05,BUY_LOW,0.377,0.32,0.524,-15.1,True,2.58
Brandon Williams,2025-12-18,SELL_HIGH,0.396,0.475,0.5,19.8,False,1.32
Brandon Williams,2025-12-20,SELL_HIGH,0.396,0.488,0.568,23.4,False,1.86
Brandon Williams,2025-12-22,SELL_HIGH,0.402,0.524,0.491,30.1,True,0.73
Brandon Williams,2025-12-23,SELL_HIGH,0.398,0.512,0.564,28.8,False,1.45
Brandon Williams,2025-12-29,SELL_HIGH,0.412,0.5,0.519,21.4,False,1.21
Brice Sensabaugh,2025-12-12,BUY_LOW,0.408,0.3,0.463,-26.4,True,0.52
Brice Sensabaugh,2025-12-20,SELL_HIGH,0.424,0.517,0.417,22.1,True,0.08
Brook Lopez,2025-11-12,SELL_HIGH,0.413,0.5,0.421,21.2,True,0.1
Brook Lopez,2025-11-14,SELL_HIGH,0.429,0.567,0.364,32.2,True,0.47
Brook Lopez,2025-11-16,SELL_HIGH,0.423,0.542,0.348,28.2,True,0.63
Brook Lopez,2025-11-17,SELL_HIGH,0.425,0.55,0.308,29.5,True,0.93
Brook Lopez,2025-12-11,BUY_LOW,0.394,0.308,0.485,-21.9,True,1.05
Brook Lopez,2025-12-18,BUY_LOW,0.39,0.273,0.487,-30.1,True,0.83
Brook Lopez,2025-12-20,BUY_LOW,0.394,0.318,0.432,-19.3,True,0.49
Brook Lopez,2025-12-28,SELL_HIGH,0.417,0.485,0.211,16.4,True,3.02
Brook Lopez,2025-12-30,SELL_HIGH,0.417,0.487,0.179,16.8,True,3.4
Bruce Brown,2025-11-24,BUY_LOW,0.424,0.355,0.395,-16.3,True,0.42
Bruce Brown,2025-12-01,BUY_LOW,0.395,0.297,0.536,-24.7,True,1.45
Bruce Brown,2025-12-03,BUY_LOW,0.39,0.263,0.591,-32.6,True,1.58
Bruce Brown,2025-12-11,SELL_HIGH,0.423,0.517,0.556,22.2,False,1.41
